customer_name,rating,review_text,date,store_location
Kristin H.,5,Expédition Multi,27/07/2025,Multi
GUYLAINE D.,5,Facilité d'utilisation du site,27/07/2025,ISTRES
Nicolas C.,5,"Livraison rapide, prix très correct.",27/07/2025,PONT L'ABBE
GINETTE R.,4,Livraison rapide,27/07/2025,FEURS
KATLEEN D.,5,Commande rapide et conforme,27/07/2025,AVIGNON MISTRAL 7
AZIZ S.,5,bon prix et livraison rapide,27/07/2025,LAGNY LE SEC
Patrick H.,5,Tout est parfait commande livraison,27/07/2025,GUERANDE
Isabelle B.,5,"Délais de livraison respecté, produit conforme à ma commande",27/07/2025,PODENSAC
Michele V.,1,"Commande incomplète et aucune communication concernant la partie manquante de la commande , ni sur un éventuel remboursement",27/07/2025,AUXERRE
PIERRETTE H.,5,Responsable rayon vélo accueillant.,27/07/2025,Multi
SANDRA M.,5,Site facile à naviguer,27/07/2025,Multi
Isabelle T.,5,Très satisfaite,27/07/2025,Multi
VERONIQUE L.,5,Article de très bonne qualité pour un prix soldé très correct. Envoi rapide.,27/07/2025,SAINT DENIS
REGIS F.,4,Renvoi obligatoire des chaussures de randonnée Merrell commandées. La paire comportait 2 pieds gauches!!,27/07/2025,LA VILLE DU BOIS
SYLVIE M.,1,"Je n ai pas reçu les chaussures de la couleur commandée, heureusement la taille était le bonne",27/07/2025,LAGNY LE SEC
Evelyne B.,4,Efficace,27/07/2025,SALON DE PROVENCE
Evelyne B.,4,Efficace,2025-07-27,SALON DE PROVENCE
CLAUDE B.,3,Colis pas du tout approprié pour l'article.,2025-07-27,ANGERS - Beaucouzé
Monique A.,5,Bon rapport qualité prix,2025-07-27,GRENOBLE - Saint Egrève
AZZIZ I.,5,"La rapidité, l'accueil",2025-07-27,HENIN BEAUMONT
FABRICE C.,4,"Accueil, choix, prix, disponibilité des produits",2025-07-27,BIGANOS
GUYLAINE D.,5,Facilité d'utilisation du site,2025-07-27,ISTRES
Nicolas C.,5,"Livraison rapide, prix très correct.",2025-07-27,PONT L'ABBE
GINETTE R.,4,Livraison rapide,2025-07-27,FEURS
KATLEEN D.,5,Commande rapide et conforme,2025-07-27,AVIGNON MISTRAL 7
AZIZ S.,5,bon prix et livraison rapide,2025-07-27,LAGNY LE SEC
Patrick H.,5,Tout est parfait commande livraison,2025-07-27,GUERANDE
Isabelle B.,5,"Délais de livraison respecté, produit conforme à ma commande",2025-07-27,PODENSAC
Michele V.,1,"Commande incomplète  et aucune communication concernant la partie manquante de la commande , ni sur un éventuel remboursement",2025-07-27,AUXERRE
PIERRETTE H.,5,Responsable rayon vélo accueillant.,2025-07-27,
SANDRA M.,5,Site facile à naviguer,2025-07-27,
Isabelle T.,5,Très satisfaite,2025-07-27,
VERONIQUE L.,5,Article de très bonne qualité pour un prix soldé très correct. Envoi rapide.,2025-07-27,SAINT DENIS
Sylvie R.,5,Super contente de mon achat.,2025-07-27,LE MANS - Ruaudin
GUILLAUME M.,5,Délai respecté colis intact,2025-07-27,DORLISHEIM
REGIS F.,4,Renvoi obligatoire des chaussures de randonnée Merrell commandées. La paire comportait 2 pieds gauches!!,2025-07-27,LA VILLE DU BOIS
LAURENCE G.,5,Maillot de bain conforme à la commande,2025-07-27,NANCY - Essey les Nancy
FLORENCE A.,4,Très explicite pour commander,2025-07-27,
ALEXANDRA L.,5,Livraison rapide et sérieuse,2025-07-27,PONTCHATEAU
SYLVIE M.,1,"Je n ai pas reçu les chaussures de la couleur commandée, heureusement la taille était le bonne",2025-07-27,LAGNY LE SEC
Vlad E.,5,Fluide et efficace,2025-07-27,RUFFEC
TARA R.,5,Parfait,2025-07-27,MONTPELLIER - Jacou
Philippe F.,5,Rapidité de livraison,2025-07-27,
Hermann F.,5,"Bon suivie de ma Commande, Bon accueil au point de retrait, rapidité de la livraison, le mode de paiement sécurisé.",2025-07-27,MANTES LA JOLIE - Buchelay
PHILIPPE L.,5,Un accueil souriant et une livraison anticipée. Merci à vos équipes pour cette belle expérience,2025-07-27,
Catherine P.,5,"Rapidité, disponibilité et réactivité",2025-07-27,MONTMORILLON
François R.,5,Je trouve sur le site ce don j'ai envie,2025-07-27,THIERS
Ambre B.,5,J'achète beaucoup d'articles dans se magasin je suis plutôt satisfaite,2025-07-27,DECHY
MOHAMED NASSIM H.,5,Disponibilité et Rapidité,2025-07-27,
XAVIER M.,0,"Commande de 2 paires de Salomon speed cross 6, les pointures sur le site ne sont pas en Européennes.
Première paire : commandé donc en 9,5 pensant que la taille était en us , en fait j'ai reçu en 9,5 en UK donc 10 en us :(
Deuxième paire : commandé  en 6 pensant aussi en us  et l'a je reçois une chaussure en 6 us ( donc impeccable ) et l'autre chaussure en 7,5 us …..que dois je faire maintenant ?",2025-07-27,
Antony S.,5,J'avais vu ce modèle de vélo en magasin et je l'ai retrouvé facilement sur le site. Les informations sont claires et suffisamment précises. Après avoir validé ma commande je n'ai pas eu à attendre longtemps avant de pouvoir la récupérer au magasin le plus proche.,2025-07-27,HOUSSEN
Marcel W.,5,"Prix, taille et livraison rapide",2025-07-27,MONTVAL SUR LOIR
ANNE S.,5,Très rapide,2025-07-27,ORANGE
Raïssa V.,5,"Rapide,  efficace,  article conforme à la description",2025-07-27,MARSEILLE - Grand Littoral
CHANTAL T.,5,"Promotions intéressantes, beaucoup de choix au niveau des produits et des tailles. Livraison rapide.
Je recommande.",2025-07-27,CLAYE SOUILLY
LINA S.,5,expédition rapide et réception rapide et sécurisé,2025-07-27,
SEBASTIEN L.,5,Livraison sans problème. Article conforme et en très bon état,2025-07-27,GRANVILLE - Yquelon
HENRI B.,1,Payer du port suite à un achat en ligne parce que l'article est manquant en magasin et livré dans ce même magasin est une honte !,26/07/2025,
HENRI B.,1,Payer du port suite à un achat en ligne parce que l'article est manquant en magasin et livré dans ce même magasin est une honte !,2025-07-26,
Coralie C.,1,Car une fois les soldes terminé les articles que j'ai commandé sont plus disponibles une fois que je dois recevoir la commande très déçu,2025-07-26,
MAGALIE G.,5,Site très sérieux. Livraison rapide.,2025-07-26,MERS LES BAINS
Edwige G.,5,Très bien,2025-07-26,CASTELNAUDARY
CELINE D.,5,"Facile, efficace, rapide",2025-07-26,
Fatiha K.,0,"Contrairement au mail reçu, seule la moitié de l'ensemble commandé était disponible.",2025-07-26,PARINOR - Aulnay sous Bois
FLORIMOND F.,5,Très satisfait de l'achat et du délai de livraison,2025-07-26,CREIL - Saint Maximin
Sonia L.,5,"Très bon rapport qualité prix, envoi rapide et soigné",2025-07-26,BEAUGENCY - Tavers
François H.,5,"Prix compétitif, facilité d'utilisation du site",2025-07-26,ST- MARTIN BOULOGNE
BRUNO M.,5,"Rapidité de livraison ,produit conforme aux photos et colis bien emballé .",2025-07-26,ORLEANS - Saran
ARNAUD G.,5,Tout c'est très bien passé,2025-07-26,REIMS - Thillois
XAVIER A.,3,"Commande d'une paire de baskets pour mon fils. La paire a été livrée avec l'antivol !! J'ai du aller dans un magasin, montrer ma commande web pour faire enlever l'antivol !!",2025-07-26,MENNECY
NADEGE C.,5,Reçu rapidement et bien emballé,2025-07-26,EPERNAY - Pierry
Farid Marc B.,5,Service rapide,2025-07-26,COUTANCES
Julien M.,0,Le pull acheté ne correspond pas du tout à celui reçu. La couleur n'a rien à voir,2025-07-26,
Laurent B.,5,Bon rapport qualité prix en période de solde,2025-07-26,GRUCHET LE VALASSE
Martine D.,5,Rapidité,2025-07-26,CHINON
Franck S.,5,Site clair et livraison rapide.,2025-07-26,CANNES - Mandelieu
Lucie M.,5,"rapide et simple d'utilisation, il y a souvent des réductions intéressantes",2025-07-26,MONTELIMAR
FRANCOIS R.,0,Je n'ai aucune nouvelle de ma commande. Par contre la facture est déjà encaissé.,2025-07-26,
NADINE L.,5,Rapidité,2025-07-26,SAINT DENIS
Sébastien B.,3,"Voilà 6 jours que la commande est passée, toujours rien, aucun retour sauf ce jour avec votre merci pour cette achat. Vous prônez une livraison au magasin sélectionné en trois jours….. nous sommes loin du compte et de tout résultat…",2025-07-26,
Stephanie C.,5,Envoi rapide,2025-07-26,URRUGNE - St Jean de Luz
Dubois C.,4,Livraison rapide et article conforme à la description,2025-07-26,PARINOR - Aulnay sous Bois
MICKAEL C.,5,Livraison rapide . Et article en solde,2025-07-26,SAINT-GEREON - Ancenis
Nicolas R.,3,La couleur du maillot de bain sur le site était trompeuse. Le noir était en réalité du Kaki !!!,2025-07-26,
BRUNO B.,3,"J'ai reçu le colis avec une chaussure sale, modèle certainement essayé en magasin par la clientèle !!! Le produit venait visiblement du magasin de Perpignan.",2025-07-26,PERPIGNAN
Florence M.,5,achat facile et livraison gratuite en point relais,2025-07-26,
STEPHANIE V.,5,Satisfaite de l'accueil et de la qualité de service,2025-07-26,ALBERT
Yoann P.,2,"Commande faite et après le le mail de confirmation,la commande devait être livré sous 2 jours ouvrés en sachant que j'ai passé commande le mercredi au plus tard j'aurais dû avoir la commande le samedi.
Samedi toujours rien donc je l'ai appel et on me dis je viens juste se faire la commande elle partira lundi résultat des courses j'ai enfin reçu ma commande une semaine après plus jamais je recommanderais chez SummitSport",2025-07-26,CHATELLERAULT
CHRYSTELLE F.,5,livraison dans les temps et article correspondant à mes attentes,2025-07-26,RAMBOUILLET
CHRISTIAN P.,5,Tout c'est bien passé,2025-07-26,
HERVE F.,0,"Sur 3 jeans de commandé sur le site. 1 de remboursé. Les 2 autres renvoyé a l'expéditeur.
Beau tir groupé",2025-07-26,
Pauline D.,0,Produit ecrit disponible puis vente annulee par vous produit non en stock 2 fois,2025-07-26,
Jessica L.,0,Porque vocês cancelaram a minha compra,2025-07-26,
Juliette C.,2,Sur 8 articles commandés j'en ai reçu seulement un,2025-07-26,
Rose J.,5,La commande à été simple à faire,2025-07-26,LUCON
Abdelhakim B.,0,Commande toujours en attente de préparation auprès 7jours .,2025-07-26,
MARILYNE B.,5,Envoi rapide,2025-07-26,
FABIENNE S.,5,PRIX remisé + facilité pour commander + livraison ok et rapide =  PARFAIT!,2025-07-26,HENIN BEAUMONT
ANDRE R.,5,Tout était parfait délais la marchandise la réception,2025-07-26,ST AMAND MONTROND
ANAIS C.,4,Sa se passe bien,2025-07-26,
JEAN CLAUDE H.,5,Service répondant à mes attentes,2025-07-26,NANCY HOUDEMONT-HEILLECOURT
Myriam Rose M.,4,bien passé,2025-07-26,LA ROCHE SUR YON
Sabrina Z.,3,Commande disponible sur Internet lors du retrait en magasin article indisponible,2025-07-26,ILLZACH
Stéphanie S.,5,"Délai livraison respecté, bon produit",2025-07-25,BIGANOS
Marie B.,5,Livraison rapide,2025-07-25,PARIS LES HALLES
Beatrice L.,5,"choix de produits, prix attractifs, rapidité de livraison",2025-07-25,BOIS SENART
FREDERIC D.,5,Tout était très bien satisfait de l achat,2025-07-25,SAINT VINCENT DE TYROSSE
Cyril P.,2,Emballages des produits ouverts  voire déchirés. Chaîne de vélo se baladant dans le colis hors de sa boîte.,2025-07-25,
Stéphane J.,4,"Du choix, une navigation agréable, délai de traitement court.",2025-07-25,
JOELLE P.,5,Satisfaction,2025-07-25,
ISABELLE N.,5,rapide,2025-07-25,
Mario M.,5,L'article correspond à la description et la livraison s'est bien déroulée,2025-07-25,ARQUES
Sebastien G.,5,"Présentation des produits sur le site, rapidité et efficacité de la livraison gratuite en point relais, produits de qualité conformes à la description et à mes attentes pour un prix très raisonnable.",2025-07-25,ISTRES
Valérie B.,5,Livraison rapide,2025-07-25,VAISON LA ROMAINE - Saint Romain en Viennois
François F.,1,Pas de livraison au 14 immeuble jour,2025-07-25,LORIENT - Lanester
MOENADIA S.,5,C'était parfait mais je préfère le livraison a domicile,2025-07-25,SARREBOURG
Sylvain N.,0,Article manquant lors de la livraison,2025-07-25,
CELINE D.,4,"la livraison a été rapide, il y a beaucoup de choix sur le site mais le prix de certains articles restent élevés",2025-07-25,
EWODO F.,4,COMMANDE FACILECONFORME AUX ATTENTES,2025-07-25,BEZIERS
BENEDICTE C.,5,Tout s'est bien passé !,2025-07-25,LE MANS Nord - La Chapelle St Aubin
Vanessa V.,0,J'ai reçu deux tailles différentes du même pied. J'ai voulu en acheter une seconde paire le prix avait prit 20 euros de plus....,27/07/2025,LILLE EURALILLE
Vanessa V.,0,J'ai reçu deux tailles différentes du même pied. J'ai voulu en acheter une seconde paire le prix avait prit 20 euros de plus....,2025-07-27,LILLE EURALILLE
Gaëtano M.,3,J ai étais étonné que un seul article dans mon colis si je n avais ouvert mon colis à la poste j aurais du y retourner alors que je n avez pas reçu de mail concernant mon 2 ème colis heureusement que j ai demandé direct à la poste après avoir ouvert le colis la prochaine fois mettre tout dans un seul colis merci,2025-07-27,
Françoise M.,5,Commande conforme à ma demande,2025-07-27,ISTRES
MARIE-LINE B.,5,"Service très correct, qualité et promotions aident à faire ce choix.",2025-07-27,L'AIGLE - Saint Sulpice sur Risle
FABRICE V.,5,Rapide et efficace,2025-07-27,
Gerard G.,5,Rien à dire que du bonheur,2025-07-27,CAEN - Rots
Serge D.,5,"Satisfait car j'ai acheté un maillot à manches longues et un cuissard long, ils sont de bonnes qualités. Pour info aux acheteurs, je mesure 1m77 et je fais 72kg, j'ai pris du M et cela me convient. Peut être que certains préféreront le L en maillot et avoir 4/5cm de plus en longueur de corps. Par contre, j'ai de grands bras et la longueur des manches: pas de problème.",2025-07-27,LAVAL
Jefferson D.,0,Je n'ai rien reçu le colis est perdu je n'ai aucune nouvelles ni remboursement,2025-07-27,ROUEN - Barentin
FLORENCE A.,5,Livraison rapide et produit conforme à l'image et à la description,2025-07-27,NARBONNE
Xavier D.,4,Produits intéressants pendant les soldes.,2025-07-27,CHINON
STEPHANE M.,5,Rapidité,2025-07-27,LIEVIN
Laurent Marie D.,4,Pas encore essayé le produit. Accès facile au magasin.,2025-07-27,
TAHAR B.,0,Commande n'est toujours pas préparer,2025-07-27,
CHRISTIAN H.,5,Article conforme à la description,2025-07-27,SAINT GENIS POUILLY
DELPHINE H.,4,Délai de livraison respecté,2025-07-27,VIRE
Frédéric B.,0,Ma commande prévue en livraison vendredi 25 n'est toujours pas livrée.,2025-07-27,NIMES
Jocelyne T.,5,Réactivité,2025-07-27,CHAMBERY
Sonia R.,5,Choix,2025-07-27,CHAMBERY
CHRISTINE P.,5,"Article conforme à la description, livraison rapide",2025-07-27,
Marc B.,4,Rapide et conforme aux attentes,2025-07-27,OLIVET
MICHEL P.,5,Pratique quand on ne trouve pas l'article à proximité,2025-07-27,CHAMBERY
MARIE DOMINIQUE A.,4,Livraison rapide et conforme,2025-07-27,
Elodie H.,5,"Site web clair, livraison rapide",2025-07-27,CHALON SUR SAONE
Amélie V.,5,Rapidité de la livraison,2025-07-27,
ALEXANDRE C.,5,Tout c'est très bien passé produit conforme,2025-07-27,THIERS
ATHMANE M.,0,commande non expédiée,2025-07-27,
CHRISTOPHE D.,3,"Comme trop souvent, les articles sont dispo au moment de la commande et une partie de la commande est annulée faute de disponibilité",2025-07-27,
Azeddine B.,4,"Site sérieux,  il y a un peu moins cher ailleurs...
Un peu plus d'ntuitivité sur le site ne serait pas un luxe..",2025-07-27,BEAUGENCY - Tavers
Chantal L.,5,Rapide et efficace,2025-07-27,
GILLES M.,4,Plus de choix sur le site que dans les magasins,2025-07-27,MONT DE MARSAN - Saint Pierre du Mont
Sabrina P.,0,"J'ai commandé une paire de chaussures pendant les soldes à 39 €, mais malheureusement, le colis a été perdu en point relais via Colissimo. J'ai bien été remboursé, ce qui est appréciable, mais entre-temps, l'article est repassé à son prix d'origine, soit 70 €. Résultat : j'ai perdu la réduction, 10 jours d'attente… et je n'ai toujours pas mes chaussures. Une expérience décevante.",2025-07-27,NANCY - Frouard
Raymond A.,4,"Difficile de trouver le bon article au bon prix, c'est souvent un peu trop cher.",2025-07-27,ARES
Audrey S.,5,Livraison rapide et qualité des produits,2025-07-27,
PATRICIA M.,5,Rapidité.  Produit conforme,2025-07-27,FACHES THUMESNIL
SUSY O.,5,Produits disponibles prix accessibles et navigation rapide,2025-07-27,
YOLANDE M.,5,la commande a été livré rapidement tout s'est bien passé,26/07/2025,BOURG SAINT MAURICE
YOLANDE M.,5,la commande a été livré rapidement tout s'est bien passé,2025-07-26,BOURG SAINT MAURICE
ESTELLE V.,5,"Produit de qualité, peu onéreux, rapidité de disponibilité",2025-07-26,THOIRY
JULIEN M.,3,Emballage très moyen donc produit un peu déformé…,2025-07-26,SAINT MALO
CHRISTINE G.,5,Parfait !,2025-07-26,MONTMORILLON
Hassan I.,4,"Tous d'abord j' ai pas encore tous reçu manque protège tibia protège dent,
Pour d'autres commandes et celle d'avant j' ai eu aucun problème.",2025-07-26,
STEPHANE N.,4,Très satisfait,2025-07-26,PONT DE CHERUY - Tignieu
CHRISTINE V.,5,Simple et efficace,2025-07-26,VILLENEUVE SUR LOT
Pierre G.,5,Choix prix rapidité de livraison,2025-07-26,HAUTMONT
Alexy P.,3,"Commande partiellement annulée puis divisée en 2 colis chacun livré à un endroit différent. Taille variable selon marque. Les couleurs ne correspondent pas vraiment aux images du site. Et un article n'est pas de la couleur souhaitée mais les soldes étant finies, je me contenterai de ce que j'ai reçu même si cela ne plaît pas vraiment.",2025-07-26,
NICOLAS M.,5,Envoi rapide article et taille correspondant a l'article nickel,2025-07-26,PARIS LES HALLES
Cédric P.,5,Très bon produit,2025-07-26,CASTRES
MICHEL S.,5,reçu rapidement,2025-07-26,NANTES - Rézé
Faustine L.,5,"Simple et facile d'accès 
Rapport qualité prix
Rapidité d'expédition",2025-07-26,HERBLAY
Philippe B.,5,Info donnée parfaitement conforme et délai de livraison parfaitement respecté,2025-07-26,DINAN - Léhon
RENE C.,5,Produit acheté conforme et livraison rapide,2025-07-26,CHALON SUR SAONE
Loïc B.,5,Tout c'est bien passé,2025-07-26,CHALLANS
BEATRICE C.,5,"Commande facile à passer, la livraison est rapide.",2025-07-26,CLERMONT L'HERAULT
MEDERIC B.,5,Parfait,2025-07-26,DINAN - Léhon
Florence C.,5,Produits conformes et livraison rapide,2025-07-26,NANTES CV
SALVADOR L.,5,Achat correspondant à ma recherche et fiabilité de la procédure de commande et livraison,2025-07-26,TOULOUSE ROQUES
MOUSSA B.,0,Un achat est annulé ca fait plus que 15 jours j'attends le remboursement,2025-07-26,SAINT MALO
Mireille S.,0,J'attends toujours le colis,2025-07-26,
Philippe P.,4,"Livraison rapide, je regrette néanmoins que le T-shirt ne soit pas livré sous blister.",2025-07-26,ISTRES
MARC C.,1,"Le temps de livraison annoncé était plus que faux. Annoncé pour lundi, livré jeudi. Heureusement que je n'avais pas prévu de Partir randonner",2025-07-26,CHAMBOURCY
OLIVIER P.,1,Marchandise abîmée,2025-07-26,
MICHELE B.,5,"Commande facile, conforme, livraison rapide",2025-07-26,SAVENAY
Mohammed E.,0,"À fuir pas sérieux, livraison très en retard, ils ne remboursent pas la livraison et le service client est nul",2025-07-26,CALVI
Sonia M.,5,Ras,2025-07-26,LE PUY EN VELAY - Brives Charensac
Abid H.,5,Service de qualité et prix attractifs.,2025-07-26,MEAUX
FANNY T.,3,les chaussures qui sont neuves sont arrivées sales au niveau du haut de la chaussure et une trace sur le côté,2025-07-26,
SANDRA D.,2,Cadeau pour un anniversaire boîte toute défoncée,2025-07-26,
